Compound,Date,Negative,Neutral,Positive,Source account,Text,Tweets Ago
0.0,Sun Aug 12 23:30:02 +0000 2018,1.0,0.0,0.0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",New start times for @60Minutes 7:20ET/6:20CT @CBSBigBrother 8:20ET/7:20CT @NCISLA 9:20ET/8:20CT @Elementary_CBS 10:… https://t.co/Op9VcDsREa,154
0.4389,Sun Aug 12 15:04:59 +0000 2018,0.874,0.0,0.126,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Clear your schedules for the 100th #PGAChamp! Stream the Final Round LIVE on @cbsallaccess at 2 PM ET across all de… https://t.co/m6bH2pKTUN,155
-0.3182,Sat Aug 11 18:00:00 +0000 2018,0.897,0.103,0.0,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>",The fortune teller you’ll meet this Saturday lived a life of luxury... by scamming her victims out of hundreds of t… https://t.co/fJo6F2Eo5p,156
0.4926,Sat Aug 11 15:00:02 +0000 2018,0.856,0.0,0.144,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>",The 100th PGA Championship continues today! Stream it LIVE on @cbsallaccess at 2PM ET across all devices. Try 1 Wee… https://t.co/jbMg06eOND,157
0.8957,Fri Aug 10 22:28:55 +0000 2018,0.581,0.0,0.419,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","To celebrate the 100th PGA Championship, relive some of the tournament's greatest moments with Luke Wilson. 

Don't… https://t.co/wUuB93smr4",158
0.0,Fri Aug 10 19:59:14 +0000 2018,1.0,0.0,0.0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @TrueCrimeCBS: When Glenn Walp and Steve Doran uncovered theft at the Los Alamos National Laboratory, they HAD to blow their whistles. W…",159
0.6696,Thu Aug 09 21:00:00 +0000 2018,0.745,0.0,0.255,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>",Want to create your own @CBSBigBrother or @TKOCBS meme using one the photos here? It’s your lucky day! Head over to… https://t.co/JHJWykNkQT,160
0.7901,Thu Aug 09 18:47:00 +0000 2018,0.72,0.0,0.28,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Time to celebrate! Your favorite Daytime shows will premiere with new seasons this fall. See all of the @CBSDaytime… https://t.co/GNkK4Zf2kD,161
0.6696,Wed Aug 08 16:05:11 +0000 2018,0.791,0.0,0.209,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Love is in the air, and the water! International smash hit #LoveIsland is coming to CBS. https://t.co/nepabuNoSU https://t.co/Cxgvkv463u",162
0.0,Tue Aug 07 16:06:57 +0000 2018,1.0,0.0,0.0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",The Executive Producers of @CBSBigBrother are teaming up with @KingJames and @MavCarter for an unprecedented televi… https://t.co/V88bDeHmQs,163
0.3612,Mon Aug 06 00:20:55 +0000 2018,0.889,0.0,0.111,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @cbsallaccess: Executive Producer of Tell Me A Story, @kevwilliamson, says ""What I like about the show, there’s nothing else on TV like…",164
0.5411,Mon Aug 06 00:07:38 +0000 2018,0.683,0.098,0.219,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",RT @TheNeighborhood: Feel the love in this new teaser for #TheNeighborhood from the #CBS #TCA18! 🤗 https://t.co/rPmCozH5XP,165
